"date","isin","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2025-08-04","-","USD","USD","USD CASH","Cash and/or Derivatives",-82242868.0,-79283018.0,2959850.0,-0.58405,-0.55861,0.02544,100.0,295985000.0,"BUY",3
"2025-08-04","US0970232049","BA","BA","BOEING CO","Industrial",8904902.0,8922524.0,17622.0,4.4918,4.45969,-0.03211,70.94,1250104.68,"BUY",3
"2025-08-04","US9497468044","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",277700.0,278258.0,558.0,2.35072,2.33596,-0.01476,1191.49,664851.42,"BUY",3
"2025-08-04","US48251W5004","KKR","KKR","KKR & CO INC","Financial Institutions",4115530.0,4123684.0,8154.0,1.64983,1.66481,0.01498,57.3,467224.2,"BUY",3
"2025-08-04","US1730802014","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",7144961.0,7159109.0,14148.0,1.51611,1.50501,-0.0111,29.84,422176.32,"BUY",3
"2025-08-04","US0605056821","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",155265.0,155571.0,306.0,1.3441,1.34028,-0.00382,1222.76,374164.56,"BUY",3
"2025-08-04","US03769M3043","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",2286409.0,2290927.0,4518.0,1.18188,1.20236,0.02048,74.49,336545.82,"BUY",3
"2025-08-04","US65339F6631","NEE","NEE","NEXTERA ENERGY UNITS INC","Utility",3181129.0,3187429.0,6300.0,1.08334,1.08022,-0.00312,48.1,303030.0,"BUY",3
"2025-08-04","US48128B6487","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5804182.0,5815666.0,11484.0,1.05107,1.03463,-0.01644,25.25,289971.0,"BUY",3
"2025-08-04","US5950173022","MCHP","MCHP","MICROCHIP TECHNOLOGY INCORPORATED","Industrial",2361981.0,2366661.0,4680.0,1.03711,1.028,-0.00911,61.65,288522.0,"BUY",3
"2025-08-04","US42824C2089","HPE","HPE","HEWLETT PACKARD ENTERPRISE CONV PR","Industrial",2385825.0,2390541.0,4716.0,0.98015,0.98364,0.00349,58.4,275414.4,"BUY",3
"2025-08-04","US03990B3096","ARES","ARES","ARES MANAGEMENT CORP","Financial Institutions",2385825.0,2390541.0,4716.0,0.95101,0.97336,0.02235,57.79,272537.64,"BUY",3
"2025-08-04","US48128B6552","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5395691.0,5406365.0,10674.0,0.96291,0.94658,-0.01633,24.85,265248.9,"BUY",3
"2025-08-04","US65339F7134","NEEXU","NEEXU","NEXTERA ENERGY   CORPORATE UNITS I","Utility",3181129.0,3187429.0,6300.0,0.91752,0.91223,-0.00529,40.62,255906.0,"BUY",3
"2025-08-04","US0126532003","ALB","ALB","ALBEMARLE CORP","Industrial",3658265.0,3665501.0,7236.0,0.87939,0.88558,0.00619,34.29,248122.44,"BUY",3
"2025-08-04","US48128B5497","JPM","JPM","JPMORGAN CHASE NON-CUMULATIVE PREF","Financial Institutions",5822797.0,5834317.0,11520.0,0.81461,0.80816,-0.00645,19.66,226483.2,"BUY",3
"2025-08-04","US48128B5232","JPM","JPM","JPMORGAN CHASE AND CO DS REPSTG  T","Financial Institutions",6227540.0,6239870.0,12330.0,0.8113,0.80191,-0.00939,18.24,224899.2,"BUY",3
"2025-08-04","US94988U1512","WFC-Z","WFC","WELLS FARGO & COMPANY","Financial Institutions",5634229.0,5645371.0,11142.0,0.77422,0.77749,0.00327,19.55,217826.1,"BUY",3
"2025-08-04","US00206R7061","T-C","T","AT&T INC","Industrial",5566954.0,5577970.0,11016.0,0.76695,0.76676,-0.00019,19.51,214922.16,"BUY",3
