"date","isin","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2025-05-07","-","USD","USD","USD CASH","Cash and/or Derivatives",-2398109.0,-2348022.0,50087.0,-0.01765,-0.01723,0.00042,100.0,5008700.0,"BUY",1
"2025-05-07","US0970232049","BA","BA","BOEING CO","Industrial",9337857.0,9340953.0,3096.0,4.31015,4.27189,-0.03826,62.33,192973.68,"BUY",1
"2025-05-07","US9497468044","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",272588.0,272678.0,90.0,2.34108,2.34882,0.00774,1174.0,105660.0,"BUY",1
"2025-05-07","US1730802014","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",7294718.0,7297139.0,2421.0,1.58872,1.58374,-0.00498,29.58,71613.18,"BUY",1
"2025-05-07","US48251W5004","KKR","KKR","KKR & CO INC","Financial Institutions",4206185.0,4207580.0,1395.0,1.49697,1.51273,0.01576,49.0,68355.0,"BUY",1
"2025-05-07","US0605056821","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",149523.0,149574.0,51.0,1.28966,1.2888,-0.00086,1174.35,59891.85,"BUY",1
"2025-05-07","US03769M3043","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",2334413.0,2335187.0,774.0,1.18626,1.18138,-0.00488,68.95,53367.3,"BUY",1
"2025-05-07","US65339F6631","NEE","NEE","NEXTERA ENERGY UNITS INC","Utility",3247891.0,3248968.0,1077.0,1.1074,1.11731,0.00991,46.87,50478.99,"BUY",1
"2025-05-07","US48128B6487","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5609314.0,5611174.0,1860.0,1.02955,1.02761,-0.00194,24.96,46425.6,"BUY",1
"2025-05-07","US65339F7134","NEEXU","NEEXU","NEXTERA ENERGY   CORPORATE UNITS I","Utility",3247891.0,3248968.0,1077.0,0.92622,0.93137,0.00515,39.07,42078.39,"BUY",1
