"date","isin","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2025-04-25","-","USD","USD","USD CASH","Cash and/or Derivatives",-926409.0,-2401031.0,-1474622.0,-0.00675,-0.01752,-0.01077,100.0,-147462200.0,"SELL",1
"2025-04-25","US0970232049","BA","BA","BOEING CO","Industrial",9405969.0,9383265.0,-22704.0,4.0956,4.12148,0.02588,60.2,-1366780.8,"SELL",1
"2025-04-25","US9497468044","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",276280.0,275620.0,-660.0,2.38056,2.37047,-0.01009,1178.75,-777975.0,"SELL",1
"2025-04-25","US1730802014","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",7347980.0,7330226.0,-17754.0,1.62679,1.62483,-0.00196,30.38,-539366.52,"SELL",1
"2025-04-25","US48251W5004","KKR","KKR","KKR & CO INC","Financial Institutions",4236875.0,4226645.0,-10230.0,1.48448,1.4926,0.00812,48.4,-495132.0,"SELL",1
"2025-04-25","US0605056821","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",150645.0,150271.0,-374.0,1.30092,1.29378,-0.00714,1180.0,-441320.0,"SELL",1
"2025-04-25","US03769M3043","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",2351441.0,2345765.0,-5676.0,1.22146,1.22255,0.00109,71.43,-405436.68,"SELL",1
"2025-04-25","US65339F6631","NEE","NEE","NEXTERA ENERGY UNITS INC","Utility",3271585.0,3263687.0,-7898.0,1.10339,1.09468,-0.00871,45.97,-363071.06,"SELL",1
"2025-04-25","US48128B6487","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5730516.0,5716678.0,-13838.0,1.0553,1.05319,-0.00211,25.25,-349409.5,"SELL",1
"2025-04-25","US48128B6552","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5246725.0,5234053.0,-12672.0,0.95129,0.94786,-0.00343,24.82,-314519.04,"SELL",1
"2025-04-25","US65339F7134","NEEXU","NEEXU","NEXTERA ENERGY   CORPORATE UNITS I","Utility",3271585.0,3263687.0,-7898.0,0.91838,0.91346,-0.00492,38.36,-302967.28,"SELL",1
"2025-04-25","US42824C2089","HPE","HPE","HEWLETT PACKARD ENTERPRISE CONV PR","Industrial",2453786.0,2447868.0,-5918.0,0.8907,0.89391,0.00321,50.05,-296195.9,"SELL",1
"2025-04-25","US03990B3096","ARES","ARES","ARES MANAGEMENT CORP","Financial Institutions",2453786.0,2447868.0,-5918.0,0.88247,0.8882,0.00573,49.73,-294302.14,"SELL",1
"2025-04-25","US69331C3060","PCG","PCG","PG&E CORPORATION","Utility",2633643.0,2627285.0,-6358.0,0.85733,0.8517,-0.00563,44.43,-282485.94,"SELL",1
"2025-04-25","US5950173022","MCHP","MCHP","MICROCHIP TECHNOLOGY INCORPORATED","Industrial",2430678.0,2424804.0,-5874.0,0.84688,0.84869,0.00181,47.97,-281775.78,"SELL",1
"2025-04-25","US48128B5497","JPM","JPM","JPMORGAN CHASE NON-CUMULATIVE PREF","Financial Institutions",5711349.0,5697555.0,-13794.0,0.82535,0.82352,-0.00183,19.81,-273259.14,"SELL",1
"2025-04-25","US0126532003","ALB","ALB","ALBEMARLE CORP","Industrial",3762302.0,3753216.0,-9086.0,0.82993,0.82181,-0.00812,30.01,-272670.86,"SELL",1
"2025-04-25","US48128B5232","JPM","JPM","JPMORGAN CHASE AND CO DS REPSTG  T","Financial Institutions",6173788.0,6158872.0,-14916.0,0.82019,0.8165,-0.00369,18.17,-271023.72,"SELL",1
"2025-04-25","US00206R7061","T-C","T","AT&T INC","Industrial",5725371.0,5711555.0,-13816.0,0.79608,0.79346,-0.00262,19.04,-263056.64,"SELL",1
"2025-04-25","US65339F1194","NEE","NEECV","NEXTERA ENERGY UNITS INC","Utility",2453786.0,2447868.0,-5918.0,0.77464,0.77585,0.00121,43.44,-257077.92,"SELL",1
"2025-04-25","US94988U1512","WFC-Z","WFC","WELLS FARGO & COMPANY","Financial Institutions",5497615.0,5484349.0,-13266.0,0.77403,0.7719,-0.00213,19.29,-255901.14,"SELL",1
"2025-04-25","US00206R3003","T","T","AT&T INC","Industrial",4326682.0,4316232.0,-10450.0,0.72173,0.7237,0.00197,22.98,-240141.0,"SELL",1
"2025-04-25","US38144G8042","GS-D","GS","GOLDMAN SACHS GROUP INC","Financial Institutions",4416571.0,4405901.0,-10670.0,0.72321,0.71044,-0.01277,22.1,-235807.0,"SELL",1
"2025-04-25","US14040H8245","COF-I","COF","CAPITAL ONE FINANCIAL CORPORATION","Financial Institutions",4907367.0,4895509.0,-11858.0,0.66339,0.66723,0.00384,18.68,-221507.44,"SELL",1
"2025-04-25","US48128B5802","JPM","JPM","JPMORGAN CHASE DRC","Financial Institutions",4610920.0,4599788.0,-11132.0,0.65624,0.65344,-0.0028,19.47,-216740.04,"SELL",1
"2025-04-25","US5949728795","MSTR","MSTR","MICROSTRATEGY  PERP STRIFE PRF SER","Industrial",695455.0,693255.0,-2200.0,0.46358,0.46232,-0.00126,91.4,-201080.0,"SELL",1
"2025-04-25","US26441C5013","DUK-A","DUK","DUKE ENERGY CORP","Utility",3271585.0,3263687.0,-7898.0,0.59461,0.59389,-0.00072,24.94,-196976.12,"SELL",1
"2025-04-25","US61762V8384","MS-Q","MS","MORGAN STANLEY","Financial Institutions",3198499.0,3190777.0,-7722.0,0.59717,0.5932,-0.00397,25.48,-196756.56,"SELL",1
"2025-04-25","US61762V8533","MS-P","MS","MORGAN STANLEY","Financial Institutions",3197739.0,3190017.0,-7722.0,0.5954,0.59212,-0.00328,25.44,-196447.68,"SELL",1
"2025-04-25","US61747S5047","MS","MS","MORGAN STANLEY","Financial Institutions",3516626.0,3508134.0,-8492.0,0.57687,0.57669,-0.00018,22.53,-191324.76,"SELL",1
"2025-04-25","US5949728878","MSTR","MSTR","MICROSTRATEGY INCORPORATED","Industrial",610748.0,608548.0,-2200.0,0.38286,0.38487,0.00201,86.68,-190696.0,"SELL",1
"2025-04-25","US00206R5081","T-A","T","AT&T INC","Industrial",3925934.0,3916452.0,-9482.0,0.57478,0.57351,-0.00127,20.07,-190303.74,"SELL",1
"2025-04-25","US0200028381","ALL-H","ALL","ALLSTATE CORPORATION (THE)","Financial Institutions",3762302.0,3753216.0,-9086.0,0.5744,0.57261,-0.00179,20.91,-189988.26,"SELL",1
"2025-04-25","US61761J4067","MS-I","MS","MORGAN STANLEY DS REPRESENTING   F","Financial Institutions",3196715.0,3188993.0,-7722.0,0.57378,0.57076,-0.00302,24.53,-189420.66,"SELL",1
"2025-04-25","US61762V6065","MS-K","MS","MORGAN STANLEY","Financial Institutions",3194452.0,3186730.0,-7722.0,0.53845,0.53664,-0.00181,23.08,-178223.76,"SELL",1
"2025-04-25","US14040H7825","COF-J","COF","CAPITAL ONE FINANCIAL CORPORATION","Financial Institutions",4089476.0,4079598.0,-9878.0,0.52958,0.53311,0.00353,17.91,-176914.98,"SELL",1
"2025-04-25","US61762V8616","MS-O","MS","MORGAN STANLEY","Financial Institutions",4151626.0,4141594.0,-10032.0,0.52916,0.52761,-0.00155,17.46,-175158.72,"SELL",1
"2025-04-25","US61762V2007","MS-E","MS","MORGAN STANLEY","Financial Institutions",2750033.0,2743389.0,-6644.0,0.50623,0.50562,-0.00061,25.26,-167827.44,"SELL",1
"2025-04-25","US9029731554","USB-B","USB","US BANCORP","Financial Institutions",3271586.0,3263688.0,-7898.0,0.50163,0.50197,0.00034,21.08,-166489.84,"SELL",1
"2025-04-25","US61763E2072","MS-F","MS","MORGAN STANLEY DS","Financial Institutions",2709257.0,2702723.0,-6534.0,0.49556,0.49576,0.0002,25.14,-164264.76,"SELL",1
"2025-04-25","US8425878001","SO","SO","SOUTHERN COMPANY (THE)","Utility",3271585.0,3263687.0,-7898.0,0.49161,0.49054,-0.00107,20.6,-162698.8,"SELL",1
"2025-04-25","US04686J8615","ATH-A","ATH","ATHENE HOLDING DS REPRESENTING   P","Financial Institutions",2821720.0,2814900.0,-6820.0,0.48694,0.4882,0.00126,23.77,-162111.4,"SELL",1
"2025-04-25","US0605052291","BAC","BAC","BANK OF AMERICA CORP","Financial Institutions",2641548.0,2635168.0,-6380.0,0.47914,0.47817,-0.00097,24.87,-158670.6,"SELL",1
"2025-04-25","US59156R8503","MET-F","MET","METLIFE INC","Financial Institutions",3271585.0,3263687.0,-7898.0,0.47302,0.47221,-0.00081,19.83,-156617.34,"SELL",1
"2025-04-25","US55261F8648","MTB-J","MTB","M T BK DEP INT PERP PFD STK SER J","Financial Institutions",2453786.0,2447868.0,-5918.0,0.4719,0.47241,0.00051,26.45,-156531.1,"SELL",1
"2025-04-25","US0669224778","XTSLA","XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives",84055449.0,84205794.0,150345.0,0.61255,0.61439,0.00184,1.0,150345.0,"BUY",1
"2025-04-25","US59156R8768","MET-E","MET","METLIFE INC","Financial Institutions",2633632.0,2627274.0,-6358.0,0.45294,0.4524,-0.00054,23.6,-150048.8,"SELL",1
"2025-04-25","US00775V1044","AEGON","AEGON","AEGON FUNDING CORPORATION II","Financial Institutions",3026227.0,3018923.0,-7304.0,0.44725,0.44671,-0.00054,20.28,-148125.12,"SELL",1
"2025-04-25","US8085136005","SCHW-D","SCHW","CHARLES SCHWAB CORPORATION (THE)","Financial Institutions",2453786.0,2447868.0,-5918.0,0.44526,0.44508,-0.00018,24.92,-147476.56,"SELL",1
"2025-04-25","US06053U6010","BAC","BAC","BANK AMER DS REPRESENTING   NON CU","Financial Institutions",2701708.0,2695174.0,-6534.0,0.43472,0.43597,0.00125,22.17,-144858.78,"SELL",1
"2025-04-25","US94988U1280","WFC","WFC","WELLS FARGO & COMPANY","Financial Institutions",3149556.0,3141944.0,-7612.0,0.43449,0.43396,-0.00053,18.93,-144095.16,"SELL",1
"2025-04-25","US0357108705","NLY-F","NLY","ANNALY CAPITAL MANAGEMENT INC","Financial Institutions",2355541.0,2349843.0,-5698.0,0.43327,0.43069,-0.00258,25.12,-143133.76,"SELL",1
"2025-04-25","US7593518852","RGA","RGA","REINSURANCE GROUP OF AMERICA INCOR","Financial Institutions",2290408.0,2284908.0,-5500.0,0.42796,0.42762,-0.00034,25.65,-141075.0,"SELL",1
"2025-04-25","US95002Y4008","WFC","WFC","WELLS FARGO & COMPANY","Financial Institutions",3362897.0,3354779.0,-8118.0,0.42275,0.4215,-0.00125,17.22,-139791.96,"SELL",1
"2025-04-25","US89832Q6952","TFC-R","TFC","TRUIST FINANCIAL DRC CORP","Financial Institutions",3026227.0,3018923.0,-7304.0,0.42034,0.42094,0.0006,19.11,-139579.44,"SELL",1
"2025-04-25","US48128B6222","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",2727035.0,2720457.0,-6578.0,0.4078,0.40612,-0.00168,20.46,-134585.88,"SELL",1
"2025-04-25","US74913G8814","CTL","CTL","QWEST CORP","Industrial",3198012.0,3190290.0,-7722.0,0.40155,0.39967,-0.00188,17.17,-132586.74,"SELL",1
"2025-04-25","US38143Y6656","GS-A","GS","GOLDMAN SACHS GROUP INC","Financial Institutions",2453627.0,2447709.0,-5918.0,0.40162,0.39505,-0.00657,22.12,-130906.16,"SELL",1
"2025-04-25","US3453708378","F","F","FORD MOTOR COMPANY","Industrial",2617327.0,2611013.0,-6314.0,0.38853,0.39054,0.00201,20.5,-129437.0,"SELL",1
"2025-04-25","US8168516040","SRE","SRE","SEMPRA ENERGY","Utility",2478242.0,2472258.0,-5984.0,0.38035,0.38241,0.00206,21.2,-126860.8,"SELL",1
"2025-04-25","US0605051798","BAC","BAC","BANK OF AMERICA CORP","Financial Institutions",2049237.0,2044287.0,-4950.0,0.38036,0.38184,0.00148,25.6,-126720.0,"SELL",1
"2025-04-25","US65339K8606","NEE","NEE","NEXTERA ENERGY CAPITAL HOLDINGS IN","Utility",2249188.0,2243754.0,-5434.0,0.37699,0.37817,0.00118,23.1,-125525.4,"SELL",1
"2025-04-25","US06055H2022","BAC","BAC","BANK OF AMERICA CORPORATION DEPOSI","Financial Institutions",2539803.0,2533665.0,-6138.0,0.37869,0.37786,-0.00083,20.44,-125460.72,"SELL",1
"2025-04-25","US0200027888","ALL-J","ALL","ALLSTATE DEP REPSTG  TH NON CUM PE","Financial Institutions",1962990.0,1958260.0,-4730.0,0.37966,0.37878,-0.00088,26.51,-125392.3,"SELL",1
"2025-04-25","US03769M2052","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",1962990.0,1958260.0,-4730.0,0.37637,0.37449,-0.00188,26.21,-123973.3,"SELL",1
"2025-04-25","US3453708451","F","F","FORD MOTOR COMPANY","Industrial",2453786.0,2447868.0,-5918.0,0.37284,0.37346,0.00062,20.91,-123745.38,"SELL",1
"2025-04-25","US95002Y2028","WFC","WFC","WELLS FARGO & COMPANY","Financial Institutions",2808542.0,2801766.0,-6776.0,0.36309,0.36245,-0.00064,17.73,-120138.48,"SELL",1
"2025-04-25","US04686J3095","ATH-C","ATH","ATHENE HOLDING LTD","Financial Institutions",1962990.0,1958260.0,-4730.0,0.35935,0.35849,-0.00086,25.09,-118675.7,"SELL",1
"2025-04-25","US4932678430","KEY","KEY","KEYCORP","Financial Institutions",1962990.0,1958260.0,-4730.0,0.34576,0.34534,-0.00042,24.17,-114324.1,"SELL",1
"2025-04-25","US8425878670","SO","SO","SOUTHERN COMPANY (THE)","Utility",1848451.0,1843985.0,-4466.0,0.34646,0.34389,-0.00257,25.56,-114150.96,"SELL",1
"2025-04-25","US04686J8383","ATH","ATH","ATHENE HOLDING LTD","Financial Institutions",1881222.0,1876668.0,-4554.0,0.34356,0.34232,-0.00124,25.0,-113850.0,"SELL",1
"2025-04-25","US21871X2080","CRBG","CRBG","COREBRIDGE FINANCIAL INC","Financial Institutions",1962990.0,1958260.0,-4730.0,0.3439,0.34034,-0.00356,23.82,-112668.6,"SELL",1
"2025-04-25","US59156R5046","MET-A","MET","METLIFE INC","Financial Institutions",1962990.0,1958260.0,-4730.0,0.33989,0.33984,-5e-05,23.79,-112526.7,"SELL",1
"2025-04-25","US00123Q8722","AGNC-F","AGNC","AGNC INVESTMENT CORP","Financial Institutions",1881222.0,1876668.0,-4554.0,0.33615,0.33684,0.00069,24.6,-112028.4,"SELL",1
"2025-04-25","US1258968452","CMS","CMS","CMS ENERGY CORPORATION","Utility",2061110.0,2056138.0,-4972.0,0.3372,0.33695,-0.00025,22.46,-111671.12,"SELL",1
"2025-04-25","US12542R3084","CHSINC","CHSINC","CHS CUMULATIVE REDEEMABLE PREF CLA","Industrial",1755136.0,1750890.0,-4246.0,0.3346,0.33547,0.00087,26.26,-111499.96,"SELL",1
"2025-04-25","US95082P3038","WCC-A","WCC","WESCO INTERNATIONAL  DS REP1 CUM P","Industrial",1761739.0,1757493.0,-4246.0,0.32572,0.32545,-0.00027,25.38,-107763.48,"SELL",1
"2025-04-25","US87165B2025","SYF-A","SYF","SYNCHRONY FINANCIAL","Financial Institutions",2453091.0,2447041.0,-6050.0,0.31731,0.31602,-0.00129,17.7,-107085.0,"SELL",1
"2025-04-25","US5341878859","LNC-D","LNC","LINCOLN NATIONAL CORPORATION","Financial Institutions",1635770.0,1631810.0,-3960.0,0.3215,0.32196,0.00046,27.04,-107078.4,"SELL",1
"2025-04-25","US06055H8060","BAC","BAC","BANK OF AMERICA CORP","Financial Institutions",2525155.0,2519061.0,-6094.0,0.32203,0.32165,-0.00038,17.5,-106645.0,"SELL",1
"2025-04-25","US8425878837","SO","SO","SOUTHERN COMPANY (THE)","Utility",2453786.0,2447868.0,-5918.0,0.31955,0.31881,-0.00074,17.85,-105636.3,"SELL",1
"2025-04-25","US12542R8034","CHSINC","CHSINC","CHS INC","Industrial",1693050.0,1688958.0,-4092.0,0.31499,0.31547,0.00048,25.6,-104755.2,"SELL",1
"2025-04-25","US7443208050","PRU","PRU","PRUDENTIAL FINANCIAL INC","Financial Institutions",1848441.0,1843975.0,-4466.0,0.31305,0.31268,-0.00037,23.24,-103789.84,"SELL",1
"2025-04-25","US3453708113","F","F","FORD MOTOR COMPANY","Industrial",1963015.0,1958285.0,-4730.0,0.31129,0.31277,0.00148,21.89,-103539.7,"SELL",1
"2025-04-25","US9029737593","USB-K","USB","US BANCORP","Financial Institutions",1881222.0,1876668.0,-4554.0,0.3086,0.30891,0.00031,22.56,-102738.24,"SELL",1
"2025-04-25","US7838922018","EIX-M","EIX","SCE TRUST VII","Utility",1799323.0,1794967.0,-4356.0,0.30945,0.30738,-0.00207,23.47,-102235.32,"SELL",1
"2025-04-25","US0200023093","ALL","ALL","ALLSTATE CORPORATION (THE)","Financial Institutions",1635770.0,1631810.0,-3960.0,0.30529,0.30516,-0.00013,25.63,-101494.8,"SELL",1
"2025-04-25","US94988U6560","WFC-Y","WFC","WELLS FARGO & COMPANY","Financial Institutions",1832670.0,1828248.0,-4422.0,0.30664,0.30521,-0.00143,22.88,-101175.36,"SELL",1
"2025-04-25","US05990K8412","BANC-F","BANC","BANC OF CALIFORNIA INC","Financial Institutions",1685078.0,1681008.0,-4070.0,0.30491,0.30393,-0.00098,24.78,-100854.6,"SELL",1
