"date","isin","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2026-03-18","-","USD","USD","USD CASH","Cash and/or Derivatives",8953535.0,8106919.0,-846616.0,0.06519,0.05936,-0.00583,100.0,-84661600.0,"SELL",1
"2026-03-18","US0970232049","BA","BA","BOEING CO","Industrial",8275335.0,8267911.0,-7424.0,4.10366,4.04285,-0.06081,66.78,-495774.72,"SELL",1
"2026-03-18","US68389X2045","ORCL","ORCL","ORACLE CORPORATION","Industrial",7203000.0,7196600.0,-6400.0,2.50049,2.49513,-0.00536,47.35,-303040.0,"SELL",1
"2026-03-18","US9497468044","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",267237.0,266997.0,-240.0,2.29979,2.29422,-0.00557,1173.5,-281640.0,"SELL",1
"2026-03-18","US0126532003","ALB","ALB","ALBEMARLE CORP","Industrial",3310169.0,3307201.0,-2968.0,1.62124,1.62249,0.00125,67.0,-198856.0,"SELL",1
"2026-03-18","US5949728530","MSTR-A","MSTR","STRATEGY INC","Industrial",2015644.0,2013836.0,-1808.0,1.4657,1.46824,0.00254,99.57,-180022.56,"SELL",1
"2026-03-18","US1730802014","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",6464813.0,6459013.0,-5800.0,1.39558,1.40418,0.0086,29.69,-172202.0,"SELL",1
"2026-03-18","US0605056821","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",152486.0,152350.0,-136.0,1.35,1.34673,-0.00327,1207.24,-164184.64,"SELL",1
"2026-03-18","US65339F6631","NEE","NEE","NEXTERA ENERGY UNITS INC","Utility",2878353.0,2875769.0,-2584.0,1.18048,1.17352,-0.00696,55.73,-144006.32,"SELL",1
"2026-03-18","US48251W5004","KKR","KKR","KKR & CO INC","Financial Institutions",3723851.0,3720507.0,-3344.0,1.07609,1.09215,0.01606,40.09,-134060.96,"SELL",1
"2026-03-18","US8425878423","SO","SO","SOUTHERN COMPANY (THE)","Utility",2876758.0,2874174.0,-2584.0,1.10149,1.09184,-0.00965,51.88,-134057.92,"SELL",1
"2026-03-18","US48128B6487","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5325019.0,5320243.0,-4776.0,0.97235,0.97508,0.00273,25.03,-119543.28,"SELL",1
"2026-03-18","US42824C2089","HPE","HPE","HEWLETT PACKARD ENTERPRISE CONV PR","Industrial",2158775.0,2156839.0,-1936.0,0.93865,0.93715,-0.0015,59.34,-114882.24,"SELL",1
"2026-03-18","US5950173022","MCHP","MCHP","MICROCHIP TECHNOLOGY INCORPORATED","Industrial",2137194.0,2135274.0,-1920.0,0.89114,0.89667,0.00553,57.35,-110112.0,"SELL",1
