"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2026-04-07","65339K829","65339K829","NEE","NEE","NextEra Energy Capital Holdings Inc","Preferred Stock",670901.0,731664.0,60763.0,0.004359,0.004737,0.000378,24.98,1517859.74,"BUY",1
"2026-04-07","825252885","825252885","AGPXX","AGPXX","Invesco Government & Agency Portfolio","Money Market Fund, Taxable",7381177.22,6541641.13,-839536.0899999999,0.001923,0.001697,-0.000226,1.0,-839536.09,"SELL",1
"2026-04-07","649445202","649445202","FLG-A","FLG","Flagstar Bank NA","Preferred Stock",314817.0,290494.0,-24323.0,0.00177,0.001626,-0.000144,21.59,-525133.57,"SELL",1
"2026-04-07","48128B648","48128B648","JPM-EE","JPM","JPMorgan Chase & Co","Preferred Stock",2686872.0,2696160.0,9288.0,0.017534,0.017526,-8e-06,25.08,232943.04,"BUY",1
"2026-04-07","48128B655","48128B655","JPM-DD","JPM","JPMorgan Chase & Co","Preferred Stock",2461158.0,2469678.0,8520.0,0.015754,0.015728,-2.6e-05,24.57,209336.4,"BUY",1
"2026-04-07","94988U151","94988U151","WFC-Z","WFC","Wells Fargo & Co","Preferred Stock",2922989.0,2933093.0,10104.0,0.014562,0.014627,6.5e-05,19.24,194400.96,"BUY",1
"2026-04-07","48128B549","48128B549","JPM-LL","JPM","JPMorgan Chase & Co","Preferred Stock",2688145.0,2697433.0,9288.0,0.013504,0.013514,1e-05,19.33,179537.04,"BUY",1
"2026-04-07","48128B523","48128B523","JPM-MM","JPM","JPMorgan Chase & Co","Preferred Stock",2906842.0,2916898.0,10056.0,0.013346,0.013389,4.3e-05,17.71,178091.76,"BUY",1
"2026-04-07","060505229","060505229","BAC-GG","BAC","Bank of America Corp","Preferred Stock",1961253.0,1968045.0,6792.0,0.012774,0.012768,-6e-06,25.03,170003.76,"BUY",1
"2026-04-07","00206R706","00206R706","T-C","T","AT&T Inc","Preferred Stock",2543595.0,2552379.0,8784.0,0.012367,0.012351,-1.6e-05,18.67,163997.28,"BUY",1
