"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2025-10-16","-","-","USD","USD","USD CASH","Cash and/or Derivatives",-1887136.0,-2064432.0,-177296.0,-0.01291,-0.01421,-0.0013,100.0,-17729600.0,"UNCHANGED",1
"2025-10-16","US0970232049","097023204","BA","BA","BOEING CO","Industrial",9110449.0,9106521.0,-3928.0,4.29264,4.28962,-0.00302,68.42,-268753.76,"SELL",1
"2025-10-16","US9497468044","949746804","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",278656.0,278536.0,-120.0,2.37378,2.3877,0.01392,1245.13,-149415.6,"SELL",1
"2025-10-16","US1730802014","173080201","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",7117263.0,7114195.0,-3068.0,1.50369,1.51785,0.01416,30.99,-95077.32,"SELL",1
"2025-10-16","US5949728530","594972853","STRC","MSTR","MICROSTRATEGY  PERP STRETCH PRF SE","Industrial",2219086.0,2218130.0,-956.0,1.49317,1.48588,-0.00729,97.3,-93018.8,"SELL",1
"2025-10-16","US0605056821","060505682","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",155551.0,155483.0,-68.0,1.35649,1.36546,0.00897,1275.6,-86740.8,"SELL",1
"2025-10-16","US48251W5004","48251W500","KKR-D","KKR","KKR & CO INC","Financial Institutions",4099705.0,4097937.0,-1768.0,1.4407,1.37341,-0.06729,48.68,-86066.24,"SELL",1
"2025-10-16","US65339F6631","65339F663","NEE-S","NEE","NEXTERA ENERGY UNITS INC","Utility",3168874.0,3167510.0,-1364.0,1.181,1.18588,0.00488,54.38,-74174.32,"SELL",1
"2025-10-16","US0126532003","012653200","ALB","ALB","ALBEMARLE CORP","Industrial",3644148.0,3642576.0,-1572.0,1.11063,1.09039,-0.02024,43.48,-68350.56,"SELL",1
"2025-10-16","US42824C2089","42824C208","HPE-A","HPE","HEWLETT PACKARD ENTERPRISE CONV PR","Industrial",2376616.0,2375592.0,-1024.0,1.13135,1.04321,-0.08814,63.78,-65310.72,"SELL",1
"2025-10-16","US48128B6487","48128B648","JPM-EE","JPM","JPMORGAN CHASE & CO","Financial Institutions",5844294.0,5841774.0,-2520.0,1.02449,1.02839,0.0039,25.57,-64436.4,"SELL",1
"2025-10-16","US03769M3043","03769M304","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",2277557.0,2276577.0,-980.0,1.0479,0.9973,-0.0506,63.63,-62357.4,"SELL",1
"2025-10-16","US5950173022","595017302","MCHP","MCHP","MICROCHIP TECHNOLOGY INCORPORATED","Industrial",2352904.0,2351888.0,-1016.0,0.97249,0.97978,0.00729,60.51,-61478.16,"SELL",1
"2025-10-16","US48128B6552","48128B655","JPM-DD","JPM","JPMORGAN CHASE & CO","Financial Institutions",5358553.0,5356245.0,-2308.0,0.92065,0.92522,0.00457,25.09,-57907.72,"SELL",1
"2025-10-16","US65339F1194","65339F119","NEE-T","NEE","NEXTERA ENERGY UNITS INC","Utility",2376616.0,2375592.0,-1024.0,0.8399,0.84229,0.00239,51.5,-52736.0,"SELL",1
"2025-10-16","US48128B5232","48128B523","JPM-MM","JPM","JPMORGAN CHASE AND CO DS REPSTG  T","Financial Institutions",6354265.0,6351525.0,-2740.0,0.82988,0.83127,0.00139,19.01,-52087.4,"SELL",1
"2025-10-16","US48128B5497","48128B549","JPM-LL","JPM","JPMORGAN CHASE NON-CUMULATIVE PREF","Financial Institutions",5842018.0,5839498.0,-2520.0,0.81512,0.81934,0.00422,20.38,-51357.6,"SELL",1
"2025-10-16","US94988U1512","94988U151","WFC-Z","WFC","WELLS FARGO & COMPANY","Financial Institutions",5602808.0,5600392.0,-2416.0,0.7645,0.77075,0.00625,19.99,-48295.84,"SELL",1
"2025-10-16","US00206R7061","00206R706","T-C","T","AT&T INC","Industrial",5545486.0,5543094.0,-2392.0,0.74947,0.75103,0.00156,19.68,-47074.56,"SELL",1
"2025-10-16","US03990B3096","03990B309","ARES-B","ARES","ARES MANAGEMENT CORP","Financial Institutions",2376616.0,2375592.0,-1024.0,0.77958,0.74792,-0.03166,45.73,-46827.52,"SELL",1
"2025-10-16","US69331C3060","69331C306","PCG-A","PCG","PG&E CORPORATION","Utility",2550950.0,2549850.0,-1100.0,0.74326,0.74433,0.00107,42.4,-46640.0,"SELL",1
"2025-10-16","US5949728795","594972879","STRF","MSTR","MICROSTRATEGY  PERP STRIFE PRF SER","Industrial",832855.0,832455.0,-400.0,0.6323,0.63158,-0.00072,110.2,-44080.0,"SELL",1
"2025-10-16","US00206R3003","00206R300","T","T","AT&T INC","Industrial",4190785.0,4188977.0,-1808.0,0.66902,0.67312,0.0041,23.34,-42198.72,"SELL",1
"2025-10-16","US48128B5802","48128B580","JPM-JJ","JPM","JPMORGAN CHASE DRC","Financial Institutions",4759090.0,4757038.0,-2052.0,0.65591,0.65665,0.00074,20.05,-41142.6,"SELL",1
"2025-10-16","US14040H8245","14040H824","COF-I","COF","CAPITAL ONE FINANCIAL CORPORATION","Financial Institutions",4753232.0,4751184.0,-2048.0,0.65768,0.65519,-0.00249,20.03,-41021.44,"SELL",1
"2025-10-16","US38144G8042","38144G804","GS-D","GS","GOLDMAN SACHS GROUP INC","Financial Institutions",4277919.0,4276075.0,-1844.0,0.60503,0.61087,0.00584,20.75,-38263.0,"SELL",1
"2025-10-16","US61762V8384","61762V838","MS-Q","MS","MORGAN STANLEY","Financial Institutions",3168874.0,3167510.0,-1364.0,0.56633,0.57048,0.00415,26.16,-35682.24,"SELL",1
"2025-10-16","US5949728878","594972887","STRK","MSTR","MICROSTRATEGY INCORPORATED","Industrial",1012548.0,1012148.0,-400.0,0.62148,0.61185,-0.00963,87.81,-35124.0,"SELL",1
"2025-10-16","US61762V8533","61762V853","MS-P","MS","MORGAN STANLEY","Financial Institutions",3168874.0,3167510.0,-1364.0,0.55528,0.55718,0.0019,25.55,-34850.2,"SELL",1
"2025-10-16","US0200028381","020002838","ALL-H","ALL","ALLSTATE CORPORATION (THE)","Financial Institutions",3644148.0,3642576.0,-1572.0,0.55158,0.55021,-0.00137,21.94,-34489.68,"SELL",1
"2025-10-16","US61761J4067","61761J406","MS-I","MS","MORGAN STANLEY DS REPRESENTING   F","Financial Institutions",3168875.0,3167511.0,-1364.0,0.54423,0.54845,0.00422,25.15,-34304.6,"SELL",1
"2025-10-16","US26441C5013","26441C501","DUK-A","DUK","DUKE ENERGY CORP","Utility",3168874.0,3167510.0,-1364.0,0.54748,0.54736,-0.00012,25.1,-34236.4,"SELL",1
"2025-10-16","US00206R5081","00206R508","T-A","T","AT&T INC","Industrial",3802600.0,3800960.0,-1640.0,0.54227,0.54325,0.00098,20.76,-34046.4,"SELL",1
"2025-10-16","US61762V6065","61762V606","MS-K","MS","MORGAN STANLEY","Financial Institutions",3168836.0,3167472.0,-1364.0,0.53642,0.53863,0.00221,24.7,-33690.8,"SELL",1
"2025-10-16","US14040H7825","14040H782","COF-J","COF","CAPITAL ONE FINANCIAL CORPORATION","Financial Institutions",3961051.0,3959343.0,-1708.0,0.52639,0.52337,-0.00302,19.2,-32793.6,"SELL",1
"2025-10-16","US61762V8616","61762V861","MS-O","MS","MORGAN STANLEY","Financial Institutions",4119503.0,4117727.0,-1776.0,0.51759,0.51681,-0.00078,18.23,-32376.48,"SELL",1
"2025-10-16","US5949728613","594972861","STRD","MSTR","MICROSTRATEGY  PERP STRIDE SER A P","Industrial",947025.0,946617.0,-408.0,0.51649,0.51466,-0.00183,78.97,-32219.76,"SELL",1
"2025-10-16","US61747S5047","61747S504","MS","MS","MORGAN STANLEY","Financial Institutions",3485697.0,3484193.0,-1504.0,0.49827,0.50565,0.00738,21.08,-31704.32,"SELL",1
"2025-10-16","US82452J3077","82452J307","FOUR","FOUR","SHIFT4 PAYMENTS INC","Industrial",792181.0,791841.0,-340.0,0.49511,0.49446,-0.00065,90.7,-30838.0,"SELL",1
"2025-10-16","US65339K8374","65339K837","NEE-U","NEE","NEXTERA ENERGY CAPITAL HOLDINGS IN","Utility",2772700.0,2771500.0,-1200.0,0.48927,0.48885,-0.00042,25.62,-30744.0,"SELL",1
"2025-10-16","US61762V2007","61762V200","MS-E","MS","MORGAN STANLEY","Financial Institutions",2733110.0,2731930.0,-1180.0,0.47911,0.48309,0.00398,25.68,-30302.4,"SELL",1
