"date","isin","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2025-11-19","-","USD","USD","USD CASH","Cash and/or Derivatives",-1378111.0,-1450944.0,-72833.0,-0.00977,-0.01032,-0.00055,100.0,-7283300.0,"SELL",1
"2025-11-19","US0970232049","BA","BA","BOEING CO","Industrial",8991749.0,8987853.0,-3896.0,3.99399,3.93852,-0.05547,61.61,-240032.56,"SELL",1
"2025-11-19","US9497468044","WFC-L","WFC","WELLS FARGO & COMPANY SERIES L","Financial Institutions",277126.0,277006.0,-120.0,2.42451,2.42298,-0.00153,1229.8,-147576.0,"SELL",1
"2025-11-19","US1730802014","C","C","CITIGROUP CAPITAL XIII","Financial Institutions",7024474.0,7021430.0,-3044.0,1.50056,1.50171,0.00115,30.07,-91533.08,"SELL",1
"2025-11-19","US5949728530","MSTR-A","MSTR","MICROSTRATEGY  PERP STRETCH PRF SE","Industrial",2190181.0,2189233.0,-948.0,1.49677,1.47287,-0.0239,94.59,-89671.32,"SELL",1
"2025-11-19","US0605056821","BAC-L","BAC","BANK OF AMERICA CORP","Financial Institutions",154684.0,154616.0,-68.0,1.37356,1.37346,-0.0001,1248.92,-84926.56,"SELL",1
"2025-11-19","US48251W5004","KKR","KKR","KKR & CO INC","Financial Institutions",4046271.0,4044519.0,-1752.0,1.36152,1.388,0.02648,48.25,-84534.0,"SELL",1
"2025-11-19","US0126532003","ALB","ALB","ALBEMARLE CORP","Industrial",3596646.0,3595086.0,-1560.0,1.3158,1.35778,0.04198,53.1,-82836.0,"SELL",1
"2025-11-19","US65339F6631","NEE","NEE","NEXTERA ENERGY UNITS INC","Utility",3127518.0,3126162.0,-1356.0,1.20715,1.19869,-0.00846,53.91,-73101.96,"SELL",1
"2025-11-19","US03769M3043","APO","APO","APOLLO GLOBAL MANAGEMENT INC","Financial Institutions",2247888.0,2246912.0,-976.0,1.04932,1.07298,0.02366,67.14,-65528.64,"SELL",1
"2025-11-19","US48128B6487","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5785986.0,5783478.0,-2508.0,1.03294,1.03538,0.00244,25.17,-63126.36,"SELL",1
"2025-11-19","US42824C2089","HPE","HPE","HEWLETT PACKARD ENTERPRISE CONV PR","Industrial",2345692.0,2344676.0,-1016.0,0.97723,0.96624,-0.01099,57.94,-58867.04,"SELL",1
"2025-11-19","US48128B6552","JPM","JPM","JPMORGAN CHASE & CO","Financial Institutions",5305096.0,5302796.0,-2300.0,0.93392,0.93839,0.00447,24.88,-57224.0,"SELL",1
"2025-11-19","US65339F1194","NEE","NEE","NEXTERA ENERGY UNITS INC","Utility",2345692.0,2344676.0,-1016.0,0.8357,0.83333,-0.00237,49.97,-50769.52,"SELL",1
"2025-11-19","US5950173022","MCHP","MCHP","MICROCHIP TECHNOLOGY INCORPORATED","Industrial",2322166.0,2321158.0,-1008.0,0.81398,0.81259,-0.00139,49.22,-49613.76,"SELL",1
"2025-11-19","US48128B5232","JPM","JPM","JPMORGAN CHASE AND CO DS REPSTG  T","Financial Institutions",6255116.0,6252404.0,-2712.0,0.80381,0.80581,0.002,18.12,-49141.44,"SELL",1
"2025-11-19","US48128B5497","JPM","JPM","JPMORGAN CHASE NON-CUMULATIVE PREF","Financial Institutions",5785986.0,5783478.0,-2508.0,0.79952,0.80214,0.00262,19.5,-48906.0,"SELL",1
"2025-11-19","US03990B3096","ARES","ARES","ARES MANAGEMENT CORP","Financial Institutions",2345692.0,2344676.0,-1016.0,0.76635,0.77747,0.01112,46.62,-47365.92,"SELL",1
"2025-11-19","US94988U1512","WFC-Z","WFC","WELLS FARGO & COMPANY","Financial Institutions",5572004.0,5569588.0,-2416.0,0.76837,0.76693,-0.00144,19.36,-46773.76,"SELL",1
"2025-11-19","US00206R7061","T-C","T","AT&T INC","Industrial",5473211.0,5470839.0,-2372.0,0.73302,0.73582,0.0028,18.91,-44854.52,"SELL",1
"2025-11-19","US69331C3060","PCG","PCG","PG&E CORPORATION","Utility",2517637.0,2516545.0,-1092.0,0.73274,0.71766,-0.01508,40.09,-43778.28,"SELL",1
"2025-11-19","US00206R3003","T","T","AT&T INC","Industrial",4136218.0,4134426.0,-1792.0,0.65132,0.65576,0.00444,22.3,-39961.6,"SELL",1
"2025-11-19","US48128B5802","JPM","JPM","JPMORGAN CHASE DRC","Financial Institutions",4691385.0,4689353.0,-2032.0,0.64295,0.64372,0.00077,19.3,-39217.6,"SELL",1
"2025-11-19","US5949728795","MSTR","MSTR","MICROSTRATEGY  PERP STRIFE PRF SER","Industrial",821355.0,820955.0,-400.0,0.59992,0.57223,-0.02769,98.0,-39200.0,"SELL",1
"2025-11-19","US14040H8245","COF-I","COF","CAPITAL ONE FINANCIAL CORPORATION","Financial Institutions",4691384.0,4689352.0,-2032.0,0.63397,0.63238,-0.00159,18.96,-38526.72,"SELL",1
"2025-11-19","US61762V8384","MS-Q","MS","MORGAN STANLEY","Financial Institutions",3127518.0,3126162.0,-1356.0,0.58362,0.583,-0.00062,26.22,-35554.32,"SELL",1
"2025-11-19","US38144G8042","GS-D","GS","GOLDMAN SACHS GROUP INC","Financial Institutions",4222182.0,4220354.0,-1828.0,0.58343,0.57844,-0.00499,19.27,-35225.56,"SELL",1
"2025-11-19","US61762V8533","MS-P","MS","MORGAN STANLEY","Financial Institutions",3127518.0,3126162.0,-1356.0,0.57009,0.57122,0.00113,25.69,-34835.64,"SELL",1
"2025-11-19","US61761J4067","MS-I","MS","MORGAN STANLEY DS REPRESENTING   F","Financial Institutions",3127519.0,3126163.0,-1356.0,0.55834,0.55943,0.00109,25.16,-34116.96,"SELL",1
